-hop count | vector for source id | hop_end_count-
7 | 1 | 0
475 | 2 | 0
481 | 2 | 0
487 | 2 | 0
499 | 2 | 0
505 | 2 | 0
511 | 2 | 0
517 | 2 | 0
523 | 2 | 0
529 | 2 | 0
541 | 3 | 0
547 | 2 | 0
553 | 3 | 0
559 | 2 | 0
565 | 3 | 0
571 | 3 | 0
577 | 3 | 0
583 | 2 | 0
589 | 4 | 0
595 | 2 | 0
601 | 3 | 0
607 | 3 | 0
613 | 2 | 0
619 | 2 | 0
625 | 3 | 0
631 | 3 | 0
637 | 2 | 0
643 | 2 | 0
649 | 2 | 0
655 | 2 | 0
661 | 2 | 0
667 | 2 | 0
673 | 3 | 0
679 | 3 | 0
685 | 3 | 0
691 | 3 | 0
697 | 2 | 0
703 | 2 | 0
709 | 2 | 0
715 | 2 | 0
721 | 3 | 0
727 | 2 | 0
733 | 3 | 0
739 | 3 | 0
745 | 3 | 0
751 | 2 | 0
757 | 3 | 0
763 | 3 | 0
769 | 2 | 0
775 | 2 | 0
781 | 3 | 0
787 | 3 | 0
793 | 2 | 0
799 | 3 | 0
805 | 3 | 0
811 | 3 | 0
817 | 2 | 0
823 | 2 | 0
829 | 3 | 0
835 | 3 | 0
841 | 3 | 0
847 | 2 | 0
853 | 2 | 0
859 | 3 | 0
865 | 3 | 0
871 | 2 | 0
877 | 2 | 0
883 | 3 | 0
889 | 3 | 0
901 | 3 | 0
907 | 3 | 0
913 | 3 | 0
919 | 3 | 0
925 | 3 | 0
931 | 2 | 0
