-Node_Id | Value - | -HopCount- 
13|5|1
19|10|1
37|15|1
43|20|2
49|25|1
67|30|1
79|35|1
85|40|2
91|45|2
97|50|2
109|55|1
115|60|1
139|65|1
151|70|1
169|75|1
181|80|2
193|85|2
199|90|1
205|95|1
217|100|1
223|105|1
229|110|1
241|115|1
247|120|2
253|125|2
265|130|1
271|135|2
277|140|1
301|145|1
307|150|1
313|155|2
319|160|2
325|165|2
331|170|1
349|175|1
373|180|1
379|185|1
403|190|2
409|195|1
427|200|1
433|205|1
445|210|1
451|213.988|1
457|218.988|1
463|222.975|1
469|226.963|1
475|230.95|1
481|234.938|1
487|238.926|1
493|242.913|1
499|246.901|1
505|250.888|1
511|254.876|1
517|258.864|1
523|262.851|1
529|266.839|1
541|271.839|2
547|275.826|1
553|280.826|1
559|285.826|1
571|290.826|2
583|295.826|1
595|300.826|1
607|305.826|2
613|310.826|1
619|315.826|1
625|320.826|2
631|325.826|2
637|330.826|1
643|335.826|1
649|340.826|1
655|345.826|1
661|350.826|1
667|355.826|1
691|360.826|2
697|365.826|1
703|370.826|1
709|375.826|1
715|380.826|1
721|385.826|2
727|390.826|1
733|395.826|2
739|400.826|2
745|405.826|1
751|410.826|1
769|415.826|1
775|420.826|1
781|425.826|2
793|430.826|1
811|435.826|2
817|440.826|1
823|445.826|1
841|450.826|1
853|455.826|1
865|460.826|1
871|464.814|1
919|469.814|1
