-hop count | vector for source id | hop_end_count-
4957 | 5 | 0
5011 | 5 | 0
5017 | 5 | 0
5107 | 5 | 0
5113 | 4 | 0
5137 | 5 | 0
5149 | 4 | 0
5179 | 5 | 0
5185 | 5 | 0
5191 | 4 | 0
5197 | 5 | 0
5239 | 4 | 0
5251 | 5 | 0
5257 | 4 | 0
5293 | 5 | 0
5311 | 4 | 0
5323 | 5 | 0
5335 | 6 | 0
5365 | 4 | 0
5461 | 5 | 0
5479 | 4 | 0
5491 | 5 | 0
5533 | 5 | 0
5551 | 4 | 0
5557 | 6 | 0
5575 | 5 | 0
5587 | 5 | 0
5623 | 5 | 0
5635 | 5 | 0
5641 | 5 | 0
5647 | 5 | 0
5659 | 5 | 0
5671 | 5 | 0
5677 | 4 | 0
5689 | 5 | 0
5701 | 7 | 0
5761 | 6 | 0
5791 | 5 | 0
5803 | 4 | 0
5833 | 4 | 0
5851 | 5 | 0
5863 | 4 | 0
5881 | 4 | 0
5893 | 4 | 0
5917 | 3 | 0
5947 | 4 | 0
5989 | 4 | 0
6007 | 5 | 0
6019 | 5 | 0
6085 | 6 | 0
6097 | 6 | 0
6115 | 7 | 0
6187 | 4 | 0
6241 | 4 | 0
6247 | 5 | 0
6265 | 4 | 0
6289 | 5 | 0
6331 | 4 | 0
6343 | 5 | 0
6349 | 5 | 0
6361 | 5 | 0
6379 | 4 | 0
6433 | 4 | 0
6445 | 5 | 0
6451 | 6 | 0
6457 | 5 | 0
6475 | 4 | 0
6487 | 5 | 0
6493 | 5 | 0
6499 | 4 | 0
6511 | 5 | 0
6517 | 4 | 0
6523 | 5 | 0
6541 | 4 | 0
6553 | 4 | 0
6565 | 5 | 0
6577 | 5 | 0
6607 | 4 | 0
6613 | 4 | 0
6619 | 6 | 0
6625 | 4 | 0
6697 | 5 | 0
6709 | 6 | 0
6721 | 4 | 0
6727 | 4 | 0
6733 | 5 | 0
6739 | 6 | 0
6757 | 4 | 0
6865 | 5 | 0
6895 | 5 | 0
6931 | 5 | 0
6979 | 5 | 0
7003 | 5 | 0
7009 | 4 | 0
7015 | 4 | 0
7033 | 5 | 0
7051 | 5 | 0
7057 | 7 | 0
7069 | 4 | 0
7075 | 5 | 0
7099 | 5 | 0
7105 | 5 | 0
7117 | 5 | 0
7135 | 5 | 0
7141 | 6 | 0
7165 | 6 | 0
7189 | 4 | 0
7195 | 4 | 0
