-Node_id | hop_end_count | -
43 | 2 | 0
61 | 2 | 0
67 | 2 | 0
73 | 2 | 0
127 | 2 | 0
139 | 2 | 0
175 | 2 | 0
187 | 2 | 0
193 | 2 | 0
217 | 2 | 0
241 | 2 | 0
283 | 2 | 0
325 | 2 | 0
337 | 2 | 0
349 | 2 | 0
421 | 2 | 0
427 | 2 | 0
439 | 2 | 0
451 | 2 | 0
487 | 2 | 0
499 | 2 | 0
559 | 2 | 0
577 | 2 | 0
607 | 2 | 0
649 | 2 | 0
655 | 2 | 0
679 | 2 | 0
703 | 2 | 0
727 | 2 | 0
763 | 2 | 0
817 | 2 | 0
841 | 2 | 0
871 | 2 | 0
901 | 2 | 0
943 | 2 | 0
985 | 2 | 0
991 | 2 | 0
1009 | 2 | 0
1087 | 2 | 0
1111 | 2 | 0
1141 | 2 | 0
1153 | 2 | 0
1159 | 4 | 0
1237 | 2 | 0
1255 | 2 | 0
1285 | 2 | 0
1297 | 2 | 0
1315 | 2 | 0
1333 | 3 | 0
1345 | 2 | 0
1375 | 2 | 0
1399 | 2 | 0
1417 | 3 | 0
1447 | 2 | 0
1501 | 2 | 0
1513 | 2 | 0
1519 | 4 | 0
1537 | 2 | 0
1627 | 2 | 0
1765 | 2 | 0
1837 | 2 | 0
1873 | 2 | 0
1891 | 2 | 0
1903 | 2 | 0
1963 | 2 | 0
1975 | 2 | 0
2011 | 2 | 0
2017 | 2 | 0
2095 | 2 | 0
2107 | 2 | 0
2113 | 2 | 0
2119 | 2 | 0
2131 | 2 | 0
2161 | 2 | 0
2245 | 2 | 0
2323 | 2 | 0
2341 | 2 | 0
2377 | 2 | 0
2389 | 2 | 0
2395 | 2 | 0
2413 | 2 | 0
2431 | 2 | 0
2491 | 2 | 0
2503 | 2 | 0
2527 | 2 | 0
2563 | 2 | 0
2587 | 2 | 0
2635 | 2 | 0
2647 | 2 | 0
2671 | 2 | 0
2677 | 2 | 0
2689 | 2 | 0
2701 | 2 | 0
2737 | 2 | 0
2785 | 2 | 0
2797 | 2 | 0
2815 | 2 | 0
2833 | 2 | 0
2875 | 2 | 0
2893 | 2 | 0
2947 | 2 | 0
2953 | 2 | 0
2971 | 2 | 0
3001 | 2 | 0
3025 | 2 | 0
3037 | 2 | 0
3073 | 2 | 0
3139 | 2 | 0
3157 | 2 | 0
3163 | 2 | 0
3211 | 2 | 0
3259 | 4 | 0
3277 | 2 | 0
3289 | 3 | 0
3337 | 2 | 0
3343 | 2 | 0
3361 | 2 | 0
3367 | 2 | 0
3379 | 2 | 0
3397 | 2 | 0
3469 | 2 | 0
3481 | 2 | 0
3493 | 2 | 0
3511 | 2 | 0
3523 | 2 | 0
3577 | 2 | 0
3589 | 2 | 0
3625 | 2 | 0
3655 | 2 | 0
3691 | 2 | 0
3703 | 2 | 0
3721 | 2 | 0
