-Node_Id | Value - | -HopCount- 
43|4.23659|1
61|8.47318|1
67|12.7098|2
73|16.9464|2
121|21.1829|2
127|25.4195|1
139|29.6561|1
157|33.8927|2
175|38.1293|1
187|42.3659|2
193|46.6025|1
217|50.8391|1
241|55.0757|2
283|59.3122|2
325|63.5488|2
349|67.7854|1
421|72.022|1
427|76.2586|1
439|81.2586|2
451|85.4952|1
487|90.4952|2
499|95.4952|1
559|100.495|2
577|105.495|2
607|110.495|2
649|115.495|1
655|120.495|1
679|125.495|1
703|130.495|1
727|135.495|1
763|140.495|2
817|145.495|1
823|150.495|2
871|155.495|1
925|159.732|1
931|163.968|2
985|168.205|2
991|172.442|2
1003|176.678|2
1009|180.915|2
1087|185.151|2
1141|189.388|1
1153|193.624|1
1201|197.861|2
1237|202.098|1
1255|206.334|2
1285|210.571|1
1297|214.807|2
1315|219.044|2
1333|223.281|2
1375|227.517|1
1399|231.754|2
1501|235.99|1
1513|240.227|1
1519|244.464|2
1567|248.7|2
1627|252.937|1
1633|257.173|2
1783|261.41|2
1831|266.41|2
1837|270.646|1
1873|275.646|1
1891|280.646|1
1903|284.883|1
1963|289.12|1
1975|293.356|1
2017|298.356|2
2035|303.356|2
2095|307.593|1
2107|311.829|1
2113|316.066|1
2119|320.303|1
2131|324.539|1
2161|328.776|1
2245|333.012|1
2275|338.012|2
2347|342.249|1
2377|346.486|1
2395|351.486|1
2431|355.771|2
2491|360.771|1
2503|365.057|2
2527|369.343|2
2563|374.343|1
2587|379.343|1
2635|384.343|1
2647|389.343|1
2671|394.343|1
2689|399.343|1
2701|404.343|1
2755|409.343|1
2785|414.343|1
2797|419.343|1
2815|424.343|1
2833|429.343|1
2875|434.343|1
2893|438.579|1
2899|442.865|2
2947|447.151|2
2953|452.151|1
2971|457.151|1
2983|461.436|2
3025|465.673|1
3037|469.91|1
3139|474.146|1
3157|478.383|1
3211|482.619|1
3259|486.856|1
3337|491.093|1
3361|495.329|1
3367|500.329|1
3397|504.566|1
3469|509.566|1
3481|514.566|1
3493|519.566|1
3523|524.566|1
3577|529.566|1
3589|534.566|1
3625|538.851|2
3655|543.851|1
3691|548.851|1
3721|553.851|1
3757|558.851|1
3793|563.851|1
3811|568.851|1
3817|573.851|1
3907|578.137|2
3913|583.137|1
3919|588.137|1
4081|592.423|2
4099|597.423|1
4135|602.423|1
4261|607.423|1
4267|611.709|3
4273|615.994|2
4291|620.28|3
4297|624.566|2
4327|629.566|1
4351|634.566|1
4357|638.851|2
4417|643.137|2
4453|647.423|2
4477|651.709|2
4483|655.945|1
4489|660.945|1
4501|665.231|2
4507|669.467|1
4513|673.704|1
4543|677.941|1
4591|682.177|1
4603|686.414|1
4651|690.65|1
4657|694.887|1
4675|699.124|1
4711|703.36|1
4747|707.597|1
4771|711.833|1
4789|716.07|1
4795|720.307|1
4837|724.543|1
4843|728.78|1
4867|733.016|1
4885|737.302|2
4951|742.302|1
4981|746.539|1
4987|751.539|1
5005|755.775|1
5023|760.061|2
5041|765.061|1
5071|769.347|2
5125|773.632|2
5173|778.632|1
5221|782.918|2
5233|787.918|1
5245|792.918|1
5401|797.918|1
5425|802.204|2
5431|807.204|1
5443|812.204|1
5485|817.204|1
5521|821.44|1
5569|826.44|1
5617|830.726|2
5713|835.726|1
5719|840.726|1
5749|845.726|1
5785|850.012|2
5815|855.012|1
5821|860.012|1
5857|865.012|1
5875|869.298|2
5983|874.298|1
5995|879.298|1
6025|884.298|1
6049|888.583|2
6067|892.869|2
6103|897.869|1
6139|902.106|1
6151|906.342|1
6199|910.579|1
6211|914.815|1
6307|919.052|1
6337|923.288|1
6367|927.525|1
6385|931.762|1
6391|935.998|1
6409|940.235|1
6559|944.521|2
6589|948.806|2
6655|953.092|2
6691|957.329|1
6751|961.614|2
6769|965.851|1
6793|970.087|1
6799|974.373|2
6811|978.659|2
6835|982.945|2
6871|987.181|1
6877|991.418|1
6889|995.703|2
6937|999.989|2
6955|1004.27|2
6985|1008.51|1
7039|1012.75|1
7045|1016.98|1
7069|1017.69|3
7123|1021.97|3
7129|1026.26|2
7171|1030.49|1
7195|1034.78|3
